Variable,MAE,RMSE,SMAPE (%),R^2,Missing Rate (%)
air-density_land-wtd,0.00036466529556159974,0.0008141503799908844,0.03224731775470028,0.9971568859509335,0.0
air-density_pop-wtd,0.0004098586877197641,0.004637644048512768,0.035276070662102435,0.8933604337676269,0.0
cloud-cover_land-wtd,0.009957035759304718,0.014299974552725081,1.930292851367127,0.9950429896332855,0.0
cloud-cover_pop-wtd,0.013825144297750946,0.020941805045577473,2.6031602548163413,0.9891185801961908,0.0
humidity_land-wtd,0.00014781397200291915,0.00038467284425523285,0.9509064750416548,0.9813331943187219,0.0
humidity_pop-wtd,0.00015320108803821403,0.00039164633364825567,0.9449524275812221,0.9779013488748746,0.0
irradiance-surface_land-wtd,3.1375725867445095,6.134350577814293,,0.9994780585227487,0.0
irradiance-surface_pop-wtd,3.9855758508591523,7.871750122825618,,0.9991213598802285,0.0
irradiance-toa_land-wtd,0.036504584356133574,0.3758177360315098,,0.9999994002393889,0.0
irradiance-toa_pop-wtd,0.04957127313739751,3.279725536235296,,0.9999546887812023,0.0
precipitation_land-wtd,0.018787832548265108,0.0525600927671218,,0.9453375007831736,0.0
precipitation_pop-wtd,0.020763643601141118,0.055438398623420544,,0.9470230270286304,0.0
temperature_land-wtd,0.060457506800238876,0.14526764661406807,0.23473090178177408,0.998616683617893,0.0
temperature_pop-wtd,0.06552885291580975,0.2046789806479579,0.2431293458514011,0.9967959452519526,0.0
wind-speed_land-wtd,0.02961245936442646,0.04858443150510854,2.0884606196661926,0.9933497817755649,0.0
wind-speed_pop-wtd,0.04198257811981689,0.06490719185653049,2.3549846171283426,0.99191685170314,0.0
