Variable,MAE,RMSE,SMAPE (%),R^2,Missing Rate (%)
air-density_land-wtd,0.0005900817819531237,0.001050963942815865,0.052216164104237794,0.9952618442007829,0.0
air-density_pop-wtd,0.000658010783364073,0.0028510792475196947,0.05733101028035551,0.9596914525857148,0.0
cloud-cover_land-wtd,0.023558134186094856,0.03765012408551252,4.53692374412642,0.9656383597946107,0.0
cloud-cover_pop-wtd,0.030738961205542953,0.05065407031401734,5.783839487577678,0.9363379476656923,0.0
humidity_land-wtd,0.00023639130742549724,0.0004899626045540619,1.566540092547288,0.9697046581723352,0.02521131059007736
humidity_pop-wtd,0.0002489516985138004,0.000502739311459353,1.5580453686734186,0.9635846711392629,0.003980733251064846
irradiance-surface_land-wtd,6.01030908182176,13.06145250791582,,0.9976337389382341,0.0
irradiance-surface_pop-wtd,7.2389466006749545,15.842046571803488,,0.9964413439289348,0.0
irradiance-toa_land-wtd,0.02816665339702768,0.31048490198177775,,0.9999995906518917,0.003980733251064846
irradiance-toa_pop-wtd,0.03200325093215459,1.5583669840141048,,0.9999897702127328,0.0
precipitation_land-wtd,0.03774693594115592,0.08076924172329417,,0.870918259971419,0.0
precipitation_pop-wtd,0.04086197470907473,0.09356263138277443,,0.8491080482034188,0.0
temperature_land-wtd,0.12328287532785762,0.23649015650643415,0.4745540415610395,0.996333597783319,0.0
temperature_pop-wtd,0.13183719243306843,0.23612329612818653,0.4877188846074004,0.995735554063555,0.0
wind-speed_land-wtd,0.05825059158119147,0.09071485429663959,4.063062719739636,0.9768156544637868,0.0
wind-speed_pop-wtd,0.08752957905957391,0.133106913577329,4.881214960239556,0.9660068616526244,0.0
