Variable,MAE,RMSE,SMAPE (%),R^2,Missing Rate (%)
air-density_land-wtd,0.0008321646474967137,0.0018625701045264162,0.0736084646436252,0.9851165906162029,0.0
air-density_pop-wtd,0.0009365958519658702,0.002513334087850607,0.0817707190214224,0.9686724305342517,0.0
cloud-cover_land-wtd,0.038157594978701956,0.06118789023001449,7.251285985745587,0.9092297521418838,0.002653892596966601
cloud-cover_pop-wtd,0.04727987632532278,0.0776766643258319,8.82437134395378,0.8502887161684274,0.002653892596966601
humidity_land-wtd,0.00025484534440891183,0.0005165767653675383,1.6864527104893734,0.9663342594856674,0.0
humidity_pop-wtd,0.00029201576412202603,0.000556035820477433,1.834737059964791,0.9554516361207044,0.0
irradiance-surface_land-wtd,8.84160799363057,20.23671990192533,,0.9943199312530061,0.0013269462984833004
irradiance-surface_pop-wtd,10.784912261146498,24.730594675492387,,0.9913278686316196,0.0013269462984833004
irradiance-toa_land-wtd,0.031014233969945387,1.7419392612657112,,0.9999874771495112,11.344063905733735
irradiance-toa_pop-wtd,0.02596677548637074,0.17166081340673925,,0.9999998758779954,0.009288624089383102
precipitation_land-wtd,0.04724885020103237,0.09886650178577147,,0.8065959843679712,0.0
precipitation_pop-wtd,0.05226845981343136,0.11388001162660313,,0.7764625562120491,0.0
temperature_land-wtd,0.18816405696311736,0.3250862969844773,0.7239058618702187,0.9930704900882859,0.018577248178766204
temperature_pop-wtd,0.20716826694628418,0.3574168077433778,0.7654371159022072,0.9902298673140506,0.026538925969666005
wind-speed_land-wtd,0.08476057007125892,0.1297045928446947,5.904354927206772,0.9526016600531092,0.002653892596966601
wind-speed_pop-wtd,0.12929478642799325,0.19270506086368794,7.2256823900578375,0.92875170126386,0.0
